name,customer_id,customer_tenure,number_of_services_or_products,average_monthly_usage,last_interaction_date,days_since_last_interaction,number_of_complaints,complaints_resolved_ratio,total_spent,average_transaction_value,outstanding_balance,payment_frequency,discount_or_offer_received,customer_support_calls,account_status,churn_flag
Emma Wilson,258bc584-0ddb-4834-b8f2-5b4bb5c4a2c0,60,3,168.91,2024-11-18,233,2,0.88,4676.65,779.44,4977.42,Bi-Monthly,1,8,Active,0
Sophia Jones,2343b82d-a3e4-4159-aaf2-1835280ec8f3,96,6,246.11,2025-06-15,24,10,0.77,7215.15,515.37,913.15,Quarterly,1,7,Suspended,0
Oliver Johnson,919390d9-f986-4326-949c-7c277d6b4a2c,73,4,148.78,2025-02-17,142,5,0.71,4487.21,897.44,1073.81,Bi-Monthly,1,8,Active,0
William Davis,7a177987-c384-4922-aab3-51f14391884d,28,1,422.03,2024-08-31,312,5,0.22,3379.81,241.41,779.13,Bi-Monthly,1,11,Closed,1
Sophia Moore,cd996360-0055-4a8c-a93e-9a100244c859,60,7,170.87,2024-09-29,283,6,0.35,3271.84,218.12,2408.2,Quarterly,0,4,Active,0
Isabella Wilson,96f7149e-bbc2-44b6-914d-1dd63f82d4ae,18,2,260.06,2025-01-02,188,4,0.73,1141.35,103.76,4308.14,Monthly,0,3,Closed,1
Liam Brown,8069d968-5325-4534-b749-054ce60aeb65,69,5,168.67,2024-12-28,193,5,0.83,8846.72,1105.84,346.48,Bi-Monthly,0,11,Closed,1
Olivia Wilson,3426e5f9-3dcb-49c7-ac87-053e8198209f,22,5,458.76,2025-01-06,184,2,0.71,4076.07,271.74,4542.59,Bi-Monthly,0,4,Suspended,0
Sophia Wilson,978ba349-e3d0-4f10-b350-0e0358e42252,2,8,386.71,2024-12-08,213,8,0.26,3027.14,252.26,1982.46,Bi-Monthly,0,0,Suspended,0
Emma Davis,a9d11ddd-fddd-47a4-ba1f-dcea5ec80ae8,6,5,486.6,2025-06-24,15,10,0.01,7815.9,710.54,3210.01,Monthly,0,15,Active,0
James Smith,a0e2b476-579d-46fd-907b-34674dc1f66b,15,7,161.04,2024-07-11,363,3,0.44,5917.74,591.77,1063.55,Monthly,0,13,Active,0
William Johnson,a4454779-30b3-40ac-9041-5fde0cb33247,35,3,215.03,2025-04-30,70,8,0.37,5684.04,516.73,1267.95,Quarterly,1,1,Closed,1
Olivia Wilson,1ec8b6c8-769e-4bfe-a712-eaded6151f10,25,7,414.81,2025-05-21,49,4,0.46,6676.41,513.57,3495.32,Monthly,0,12,Active,0
Liam Taylor,8124ccf8-d300-4ff0-af17-f98baca399f6,5,2,481.1,2025-04-20,80,1,0.41,8762.83,625.92,3809.22,Bi-Monthly,1,14,Suspended,0
William Smith,8d7a24ca-209f-479d-8e77-db9f6b4c7b44,64,1,498.77,2025-06-15,24,10,0.98,7151.39,650.13,3836.39,Monthly,1,8,Active,0
Ava Brown,e394d8d8-59db-4129-87f0-f249c07c4725,5,2,425.19,2024-08-25,318,2,0.67,5088.33,424.03,265.02,Monthly,1,12,Active,0
Noah Moore,851eb491-48f2-43b2-84df-4063d7174bdb,113,4,477.57,2025-03-13,118,1,0.76,9043.75,753.65,4713.93,Quarterly,1,10,Suspended,0
William Smith,df7c5dde-102e-444f-9a6f-21e22d39e83a,65,8,315.85,2025-04-15,85,10,0.02,2324.28,178.79,1939.11,Monthly,0,14,Suspended,1
James Moore,3265be78-3cbb-49ac-87f1-796c32713716,51,8,203.57,2024-12-05,216,8,0.06,8819.75,801.8,3571.88,Bi-Monthly,1,4,Active,0
Olivia Wilson,b96413e9-bc7c-4f82-a8f5-bd1d6bfe4bdb,46,7,457.99,2024-12-19,202,6,0.16,1233.83,82.26,4921.04,Monthly,0,6,Active,0
Isabella Moore,a9303b33-41cd-4370-a6a6-c18d284776c2,85,8,353.45,2025-03-06,125,7,0.17,8933.21,744.43,2620.78,Bi-Monthly,0,13,Active,0
Emma Smith,47931a40-59ba-4982-9630-a89c9f24b81e,13,7,348.65,2025-01-27,163,5,0.98,5410.5,901.75,1670.54,Bi-Monthly,0,0,Active,0
William Wilson,3f87e42f-3bc4-411f-9c7b-439c66ba1a60,28,3,364.8,2025-06-06,33,1,0.74,6647.99,554.0,4135.66,Quarterly,1,11,Suspended,1
James Taylor,844bfed6-ba77-40b1-be3b-39a5d3bc320f,30,6,217.75,2024-07-19,355,6,0.33,6090.11,870.02,1967.6,Quarterly,0,2,Closed,1
Liam Wilson,b07773b5-cb22-445e-8c2b-0b016c551835,91,4,404.87,2024-08-17,326,7,0.78,2357.77,392.96,2784.96,Quarterly,0,7,Closed,0
Emma Johnson,febce922-1b4f-48f2-84fe-1a657931649c,74,6,327.56,2024-11-03,248,6,0.07,7961.03,796.1,414.12,Monthly,0,4,Suspended,1
Ava Jones,a93f1732-b506-4e6c-b708-b8514414e6f6,86,2,251.4,2025-05-07,63,5,0.08,8676.65,1446.11,4384.55,Bi-Monthly,0,15,Active,0
James Moore,8b4fe68f-af28-4a26-8737-cfb661d0c376,2,7,452.8,2024-09-22,290,7,0.67,1607.91,123.69,1121.61,Bi-Monthly,0,1,Active,0
William Brown,faf22375-6f3c-4064-b7f8-c14f37e788e4,105,8,458.64,2024-11-28,223,5,0.26,8954.33,814.03,2364.44,Monthly,1,2,Suspended,0
Emma Miller,928f47ba-6685-4378-9f8f-481e4371a52d,22,6,375.23,2024-11-16,235,1,0.99,2989.1,332.12,4390.59,Bi-Monthly,0,14,Closed,1
Ava Moore,76c8f140-1264-4ed8-b79e-a4e48ec155c2,16,1,309.24,2025-04-17,83,0,0.0,4666.79,466.68,1397.09,Bi-Monthly,0,0,Closed,0
Olivia Moore,f8933629-374b-41d6-9fac-debc02350c16,20,1,496.63,2024-10-24,258,9,0.35,2224.2,171.09,4213.5,Bi-Monthly,1,15,Closed,1
Sophia Smith,8a78fd9c-877e-4b65-a4eb-a7ce06111780,18,6,175.13,2024-12-15,206,2,0.33,6231.21,415.41,4559.98,Quarterly,0,9,Closed,1
James Davis,65c1875a-ddf7-4e88-9501-9ef0172f6984,10,3,351.32,2025-03-22,109,8,0.96,2017.22,155.17,1905.2,Bi-Monthly,0,14,Active,0
James Wilson,1c350591-61d3-4cc2-80c6-44b5510ecc15,57,8,278.4,2025-02-23,136,10,0.73,7877.94,1575.59,3838.12,Quarterly,0,7,Suspended,1
Ava Wilson,c768afcd-1ea5-4276-b219-20d4e13b7777,91,6,470.63,2024-11-11,240,3,0.12,1070.95,107.09,1752.57,Quarterly,1,15,Closed,0
Liam Johnson,6f022880-d8fc-48f3-8bd5-273b5456f972,41,1,352.35,2024-08-08,335,0,0.0,9481.89,1896.38,3168.23,Bi-Monthly,1,3,Suspended,0
Ava Miller,428d3607-f982-4550-b50a-92b6cadd9dab,51,2,466.91,2025-03-12,119,2,0.48,9717.75,1079.75,812.1,Quarterly,0,8,Suspended,1
Noah Taylor,ff0d015f-9474-4fe8-93a8-0fba6f696dbc,18,2,289.61,2024-08-29,314,1,0.2,2471.13,224.65,4252.74,Monthly,1,6,Active,0
Noah Williams,5dc5cdaf-b6ff-4a3c-a1ca-b4b8c668d1ae,5,2,420.64,2024-09-04,308,4,0.22,3710.16,337.29,3764.35,Bi-Monthly,1,13,Closed,1
William Davis,69f0a253-994e-47cb-818a-651643104fd1,75,1,454.35,2024-11-09,242,10,0.6,3724.17,266.01,4381.83,Bi-Monthly,0,8,Active,0
Oliver Johnson,a98e7a6d-3c91-452f-8fdb-6a8dbf2e7df1,41,8,285.2,2024-12-23,198,10,0.92,9291.81,774.32,1968.2,Monthly,0,9,Suspended,1
Oliver Moore,eab6d34f-3033-4798-a113-006eb7bb12e6,70,8,418.77,2024-09-04,308,0,0.0,8628.71,1725.74,4322.91,Monthly,1,1,Active,0
Sophia Moore,007e7e43-c8dd-4240-ab52-6b7129cd9d8b,85,8,288.66,2025-05-08,62,8,0.54,9229.67,615.31,3497.64,Monthly,1,3,Closed,0
Isabella Moore,f7136aae-4358-4c0d-9399-d79c4988fc53,89,1,432.33,2024-09-04,308,1,0.42,8977.56,690.58,4525.64,Monthly,0,13,Suspended,0
Liam Davis,c075a601-dc39-4e80-9055-b6b02a51c920,2,5,340.5,2025-01-17,173,6,0.58,8275.03,1655.01,4100.04,Quarterly,0,12,Suspended,0
Ava Wilson,e8bea9e8-ff6f-4f6b-a175-0a82e1924052,108,7,334.98,2025-05-28,42,10,0.16,8045.59,893.95,1153.43,Bi-Monthly,0,1,Active,0
Noah Wilson,2d2c3b52-e351-4ef2-be79-c8644f3f8e2f,89,7,292.08,2025-06-08,31,3,0.75,2592.96,216.08,2453.3,Quarterly,0,14,Closed,1
Oliver Miller,8d441aa2-ab10-4977-bad6-f4e6d50a3c5a,43,8,151.47,2024-11-17,234,7,0.07,4700.19,783.36,4254.3,Quarterly,1,6,Active,0
James Jones,f094c8d8-3d69-4faa-8edb-32be6d00e91a,111,8,262.8,2024-07-12,362,0,0.0,9508.72,950.87,3151.36,Quarterly,0,2,Closed,0
Sophia Miller,804b5d12-4360-4ef4-bb43-57b67720e4bd,94,8,122.01,2025-03-06,125,6,0.84,1744.22,290.7,4897.41,Monthly,0,13,Suspended,1
Isabella Smith,f9a69db7-fc65-455b-9a04-c51fa69b6d0a,65,6,197.46,2024-08-14,329,3,0.99,6472.51,462.32,3986.49,Bi-Monthly,0,15,Closed,1
James Wilson,743ef6c6-050a-41d2-b8b5-945b350f2b9c,34,7,173.68,2025-06-15,24,6,0.62,3501.24,437.65,2841.17,Quarterly,0,14,Closed,0
Olivia Johnson,114fe2db-40da-41cc-87d9-f4afcdc5c0bb,74,5,224.88,2025-01-16,174,3,0.94,3213.86,357.1,1249.47,Bi-Monthly,0,14,Closed,0
Liam Davis,5f7132e9-b099-4ffa-98da-b2bc183c6e22,90,2,181.92,2024-09-29,283,10,0.38,7801.37,600.11,3784.07,Quarterly,0,7,Active,0
Sophia Williams,95bafea4-185f-42b6-a36a-78b7e713994f,23,5,219.13,2025-04-09,91,4,0.79,2238.91,159.92,2522.93,Monthly,0,2,Closed,0
Ava Smith,c8d2bbd1-6e48-417c-9e88-a6dbda0bcf84,92,8,220.54,2024-11-09,242,5,0.59,9503.49,1357.64,1196.83,Bi-Monthly,1,0,Active,0
Oliver Smith,ad289106-9681-43b0-8b6c-64df8f6e128d,99,2,458.89,2024-12-02,219,4,0.11,7393.0,528.07,2604.54,Monthly,0,9,Closed,1
William Taylor,673b4eee-cae8-4318-bd7c-bb5a1da64788,89,6,447.86,2024-07-29,345,2,0.78,1793.04,298.84,4504.32,Bi-Monthly,1,13,Active,0
Sophia Davis,f30c86ce-8054-4d2f-802c-12cc7e82b99e,8,2,255.38,2025-01-14,176,4,0.6,3034.37,433.48,250.52,Monthly,1,0,Active,0
Isabella Taylor,866bf662-7388-4c6b-b657-fd989ee17dd8,94,8,463.14,2025-02-01,158,0,0.0,8152.88,1019.11,964.2,Monthly,0,13,Closed,0
Oliver Davis,e4b309ee-620e-43ca-a922-52bd70033ded,95,8,341.04,2025-04-01,99,10,0.22,3038.76,303.88,1439.58,Quarterly,0,3,Closed,0
William Taylor,92f64da1-ec7a-477a-84b4-34d5becc7de3,78,8,214.61,2024-11-29,222,1,0.86,8784.33,1756.87,4197.94,Bi-Monthly,0,6,Closed,0
James Williams,426b71a1-7ba6-4435-a3c1-583945214d0d,84,7,136.73,2024-08-20,323,1,0.24,9855.62,703.97,4716.62,Monthly,1,3,Suspended,0
Isabella Miller,37098dd8-e171-4cbd-99f5-d7cc6c3618a3,51,7,477.96,2024-07-20,354,3,0.96,8911.16,990.13,1688.24,Bi-Monthly,1,11,Closed,0
Liam Smith,8677ea0a-cf7a-499b-8797-889789529150,5,2,276.95,2024-11-25,226,8,0.12,5160.33,860.05,4730.51,Quarterly,0,11,Suspended,0
Emma Taylor,6d66c7cd-d2c0-469b-84bf-36654f720c98,30,1,324.72,2024-09-16,296,4,0.02,2553.13,170.21,1492.34,Quarterly,0,13,Active,0
Olivia Johnson,a0504d0e-a446-4f02-8cd3-0c11fe6a45c6,105,7,404.73,2025-04-03,97,7,0.13,8824.18,882.42,4328.2,Quarterly,0,5,Active,0
William Brown,f894286e-e446-4d3d-8ce4-74a8821e4740,102,5,218.21,2024-09-22,290,1,0.8,9552.58,636.84,2374.03,Bi-Monthly,1,10,Suspended,0
James Smith,cafc3a8f-55a7-4fc1-8cc9-91f674b00f81,30,7,431.81,2024-10-15,267,5,0.94,1950.38,216.71,3255.88,Monthly,1,1,Closed,1
Sophia Davis,2662a0e9-c2f1-4da6-8fe1-55cd78ba47b1,118,8,272.73,2024-11-25,226,9,0.02,2859.72,204.27,1796.87,Bi-Monthly,1,4,Closed,0
Sophia Williams,f1662cf4-1f80-4495-bb27-465a291c55d0,51,8,494.41,2024-11-15,236,6,0.05,4665.0,777.5,4793.43,Monthly,1,5,Suspended,0
Emma Smith,1a60f7be-065c-4f58-abe8-cec93b3974e1,55,7,360.65,2025-04-20,80,2,0.72,5766.78,640.75,626.22,Quarterly,1,7,Active,0
Oliver Smith,0f6668dc-ca0a-4b15-a058-1e66ed91664c,15,2,156.56,2025-03-12,119,8,0.99,8109.2,810.92,3232.04,Bi-Monthly,0,10,Active,0
Liam Brown,63c87d48-7e94-46c4-a4e9-5b7f384512df,100,1,464.78,2024-10-08,274,7,0.95,6755.95,563.0,4012.26,Quarterly,1,1,Closed,1
Emma Wilson,84b80993-9f18-4c9d-a142-3c76eeb0a235,88,2,351.1,2025-06-07,32,2,0.44,2745.59,305.07,3026.51,Monthly,0,1,Active,0
Noah Brown,ccac3b37-4c51-4882-9c4a-9c8e5bb4f694,53,8,272.62,2025-04-01,99,2,0.71,6730.77,747.86,1360.56,Bi-Monthly,1,4,Active,0
James Wilson,9b69d297-a83d-40bc-be89-955a6bf3db8e,82,4,242.47,2025-03-29,102,7,0.5,8617.52,662.89,82.38,Quarterly,0,15,Active,0
Noah Davis,551a1005-c012-449a-af45-6a35f7954395,2,1,351.64,2024-08-06,337,7,0.22,4227.6,352.3,4793.79,Bi-Monthly,0,1,Suspended,0
Liam Miller,d595c6e7-1a9d-4e41-911c-abcd80eb470b,3,7,479.12,2024-09-25,287,5,0.52,5778.45,722.31,4324.04,Bi-Monthly,1,15,Closed,0
Olivia Davis,6797773b-724f-4988-a7df-553567e2dc5d,17,2,230.12,2024-10-06,276,1,0.28,3966.83,396.68,4978.7,Monthly,1,15,Closed,1
Emma Moore,14cb8552-f453-45d1-88c8-848d14cab1b0,66,4,219.2,2024-10-09,273,0,0.0,5870.21,652.25,2458.08,Monthly,1,14,Active,0
William Brown,8641f683-0b99-4c46-8a03-181f1fab9d19,80,8,485.29,2025-06-10,29,5,0.72,9410.26,672.16,1402.74,Quarterly,0,4,Active,0
Isabella Davis,75afcc77-1f1b-4dd3-a01e-c040183c2be1,90,8,358.51,2025-01-10,180,5,0.93,6164.27,560.39,190.58,Bi-Monthly,1,6,Closed,0
William Moore,090d7750-69cf-442c-8950-ac860ee5ac00,83,2,418.64,2024-12-18,203,5,0.79,9375.39,1875.08,2453.42,Quarterly,0,5,Closed,1
Sophia Moore,a94a047e-8d23-4c8b-88ef-cfa470b6b80a,51,7,111.22,2024-11-26,225,6,0.52,9373.62,669.54,1750.1,Monthly,1,6,Suspended,1
Oliver Jones,19e4d72c-8929-4b73-940a-6114b41dfda3,11,7,332.52,2024-09-14,298,2,0.15,6784.61,1356.92,2724.07,Monthly,1,12,Active,0
William Taylor,720e19a6-56d6-4a06-baf3-9066af562b0e,50,6,389.98,2024-07-11,363,2,0.77,4980.57,553.4,1060.81,Monthly,0,10,Suspended,0
James Miller,7f99f2f9-e95e-4058-bd3f-85f20e0e9ddb,119,1,481.02,2024-12-12,209,9,0.72,5724.97,381.66,586.43,Quarterly,0,15,Closed,1
Oliver Taylor,c15ebd65-96ad-4e18-a06e-00c30ff85594,66,2,306.28,2025-05-31,39,10,0.18,4558.38,651.2,3085.47,Bi-Monthly,0,8,Suspended,0
Isabella Davis,a42cd261-5231-4961-92f0-a38e950a902f,76,6,487.66,2025-06-10,29,4,0.85,7866.23,605.09,1035.39,Quarterly,0,8,Suspended,1
Noah Wilson,9ea2bfca-b554-4fe3-9dcf-18d375c50ce0,72,7,302.85,2024-08-05,338,3,0.07,1826.67,304.44,906.49,Monthly,1,9,Active,0
James Jones,c8eaec62-fad1-4de2-890e-7272b7073815,117,7,433.06,2025-04-30,70,9,0.92,4505.7,500.63,2235.95,Quarterly,1,13,Suspended,0
Isabella Williams,09da57b2-2e78-4cfa-8b77-9320e4d59f79,8,6,399.7,2024-08-25,318,6,0.42,5788.89,964.82,2458.51,Bi-Monthly,1,2,Active,0
Oliver Smith,52820806-024d-4295-a4a1-e8971abaf4db,83,7,230.24,2024-08-26,317,9,0.29,3234.21,462.03,3421.57,Quarterly,1,6,Suspended,1
Noah Miller,d8c7fbcb-4c7a-4485-b1db-43c6a2aba43c,47,6,200.08,2024-10-08,274,0,0.0,8844.18,631.73,3327.41,Quarterly,1,13,Closed,0
Sophia Taylor,464caaa8-7b86-4ccb-88e6-6f708f45b760,62,7,228.13,2025-01-25,165,7,0.26,3519.57,502.8,147.07,Bi-Monthly,0,9,Active,0
Olivia Davis,bd726dba-2bb0-467a-bcda-683e776c13c0,94,2,258.59,2025-02-16,143,6,0.34,1680.39,336.08,764.97,Monthly,0,10,Active,0
Noah Williams,488de903-d23c-4fd8-96a6-92986239566d,23,2,290.6,2024-09-16,296,10,0.89,2504.8,357.83,3814.07,Quarterly,0,13,Closed,1
Noah Jones,da23ce47-d17b-423b-bb0a-39ec75d0b072,5,1,133.19,2024-08-21,322,6,0.53,7258.2,558.32,3269.58,Quarterly,0,4,Active,0
James Davis,18304747-f5b0-40df-baad-933ed17f88d6,3,8,417.9,2024-10-04,278,4,0.72,4190.37,523.8,142.18,Monthly,1,12,Suspended,1
Sophia Wilson,a5304d56-f7ee-4752-98e7-74d5b1f32260,65,4,408.76,2024-07-13,361,5,0.88,2251.51,160.82,132.52,Monthly,0,4,Active,0
Isabella Miller,2d004f4f-2336-4382-9cd0-a13e54d81398,90,1,148.85,2025-01-05,185,9,0.98,1933.24,138.09,188.22,Bi-Monthly,1,2,Suspended,0
Oliver Smith,cd5546fb-46be-4043-badc-932b9c0e4798,111,5,194.33,2024-07-18,356,1,0.77,9150.41,1830.08,4354.57,Bi-Monthly,1,2,Closed,0
Ava Brown,b5291e44-efa3-4f6f-ac2e-c4ecbc012fcd,43,2,125.09,2025-07-05,4,8,0.05,5031.26,359.38,2153.5,Bi-Monthly,0,13,Suspended,0
William Smith,62f7e5f9-5c4d-4c87-a9e3-d0a0eac667b5,13,5,467.05,2025-02-17,142,4,0.66,3402.36,378.04,2958.22,Bi-Monthly,1,14,Active,0
Ava Wilson,4859f41e-3576-4cd0-b4ba-6a7e96832883,61,6,442.81,2025-03-15,116,8,0.7,8472.74,651.75,3175.47,Monthly,0,8,Suspended,0
Liam Davis,7ffed6a4-0c04-403e-9985-474cc5e5d8e2,44,6,307.22,2024-08-17,326,7,0.25,6408.66,915.52,4583.11,Quarterly,0,5,Active,0
William Jones,3efd39c5-f1fb-4dec-bfaa-89d9556d1de4,49,3,102.64,2025-04-23,77,4,0.39,2157.2,359.53,1268.32,Bi-Monthly,1,7,Suspended,1
Oliver Williams,a7fb3b90-6a38-40ec-b0e8-3bba2950432a,90,2,286.65,2024-08-26,317,0,0.0,9501.8,1900.36,4116.82,Quarterly,0,5,Suspended,1
William Moore,8cbf5ab4-a73f-4e88-a2d4-b76ec8782061,63,5,310.58,2025-03-09,122,0,0.0,5391.59,898.6,251.28,Bi-Monthly,0,9,Closed,0
Emma Smith,a3ad62ce-7698-457d-a4a1-17163e83d659,69,7,490.04,2025-05-03,67,10,0.97,8003.87,800.39,1409.76,Bi-Monthly,1,4,Active,0
Emma Miller,2a4d32cb-4cea-44d7-9588-1e663979fbdd,16,2,134.55,2024-11-09,242,5,0.71,1438.53,130.78,2017.13,Monthly,0,7,Active,0
Ava Jones,afdcadb0-a6b9-44fb-83c6-7df403e30d72,32,7,221.19,2025-01-09,181,3,0.01,4538.53,349.12,4864.71,Monthly,0,7,Closed,0
Liam Davis,99c664fb-23c0-47a3-8820-4bc10573dfbd,50,4,419.25,2025-06-20,19,2,0.19,1405.52,127.77,4447.33,Monthly,1,5,Suspended,1
Olivia Taylor,5effc060-164e-4d94-81f1-5872170f64d1,105,6,461.41,2024-08-26,317,0,0.0,6171.78,685.75,3969.6,Monthly,1,14,Active,0
William Davis,7dd5577f-912d-4be5-850c-388d5ec91ad2,35,8,196.66,2025-06-17,22,0,0.0,2430.16,173.58,736.69,Quarterly,0,0,Closed,1
Oliver Johnson,a9298dab-1a33-4151-a4ca-098b2293e0c3,33,8,359.03,2024-11-05,246,1,0.18,4017.66,267.84,1535.88,Monthly,0,10,Closed,1
Olivia Moore,44aa38cc-a3dc-478b-8e62-32b143e8430c,22,3,430.96,2024-08-13,330,3,0.5,5741.53,717.69,3299.65,Quarterly,0,6,Active,0
Ava Williams,b211b2c4-d1bc-4f98-b482-c0340c9843e6,36,4,211.87,2025-03-12,119,1,0.44,3847.57,769.51,2389.0,Bi-Monthly,0,13,Suspended,1
Sophia Miller,2ca9b398-260f-4140-ad04-85379da90e83,44,2,194.46,2025-02-28,131,8,0.24,8220.21,822.02,2228.9,Monthly,0,10,Closed,0
Oliver Jones,4819111a-9093-4775-b403-f6f649867091,4,2,125.56,2024-11-10,241,9,0.25,9207.34,837.03,3478.25,Monthly,1,12,Active,0
Olivia Jones,6eb60a58-8370-4703-a1c6-59c123024d65,117,8,185.96,2024-09-29,283,9,0.85,8246.23,589.02,2719.17,Monthly,1,1,Active,0
James Brown,21ae0858-168f-4608-b054-1505816ec78d,103,8,471.73,2025-03-13,118,8,0.05,3623.17,241.54,593.45,Quarterly,0,5,Active,0
Oliver Brown,da53f04b-f129-4d7f-844c-29ab8f75a581,89,1,158.33,2024-11-08,243,8,0.4,1855.34,168.67,169.51,Bi-Monthly,0,6,Closed,0
Isabella Jones,2801d28a-b799-426f-a04a-7e757839d63a,19,6,282.49,2025-01-03,187,4,0.33,6062.93,1212.59,4928.29,Quarterly,0,0,Suspended,0
Liam Taylor,ebcc50fe-c83c-449b-9841-9fdf0c88cce0,44,5,304.01,2024-11-11,240,10,0.07,8087.38,539.16,3878.41,Monthly,1,13,Active,0
Isabella Moore,5335c81f-1c44-4ba6-943b-b71642a9fa73,43,7,121.96,2025-01-27,163,0,0.0,5762.79,1152.56,1918.65,Bi-Monthly,1,9,Closed,1
Sophia Davis,043f83fd-a6da-475d-bc16-8959d82d95f3,85,8,227.15,2024-08-22,321,0,0.0,8187.75,545.85,560.26,Monthly,0,0,Suspended,0
Noah Taylor,41fa0058-e500-4283-98d3-2c0c2aee5d9d,13,2,464.01,2024-10-13,269,6,0.28,9062.53,697.12,4465.97,Quarterly,1,11,Closed,0
Noah Davis,eb5365ad-afac-4943-a132-892f7b94c8a5,63,2,421.55,2025-06-29,10,8,0.22,4541.82,324.42,2869.84,Monthly,1,11,Active,0
Noah Williams,48a75a92-fdb8-4f33-b86a-20400c29cf23,41,4,464.04,2025-06-08,31,3,0.12,7451.41,745.14,206.6,Monthly,0,5,Suspended,0
James Miller,7ca51acf-e1fb-476a-bf94-212a33ce0341,120,8,473.47,2024-10-11,271,1,0.46,8836.51,736.38,3743.12,Bi-Monthly,0,14,Suspended,0
Olivia Miller,eb6cc64a-2eec-4717-a81c-b7b0585abf07,1,6,348.77,2024-10-17,265,6,0.03,5560.81,397.2,844.14,Monthly,1,11,Active,0
Oliver Moore,64fc59d1-28fd-4d34-9254-b4714ef6ab28,2,4,217.86,2025-06-23,16,5,0.04,3169.41,396.18,4994.62,Bi-Monthly,0,15,Active,0
William Jones,523c522c-75b5-4aed-8d9a-ac12e6c9a2e3,12,7,119.5,2025-04-14,86,2,0.23,5114.99,568.33,4518.61,Monthly,0,11,Closed,1
Olivia Moore,d401841e-56a6-412d-8fd5-88353118f302,87,7,259.33,2025-03-21,110,0,0.0,3862.89,297.15,4875.62,Monthly,0,14,Suspended,1
Olivia Brown,bd581acf-3a2d-4d55-8c04-6353220aaa6c,81,2,222.56,2024-10-15,267,2,0.83,7018.42,1169.74,4658.8,Monthly,0,13,Closed,1
Oliver Moore,d47ba3f4-bbdb-4182-8266-02dce1ed2460,85,1,105.31,2025-02-08,151,10,0.45,8390.72,599.34,3670.21,Bi-Monthly,0,2,Suspended,0
James Smith,d68ff6bb-713d-433d-b1db-338a3496e72b,68,4,323.98,2024-07-13,361,4,0.61,6148.26,512.36,3316.58,Monthly,1,14,Closed,1
Oliver Brown,1ddb682d-eb29-4124-91d9-a76eee6301ee,100,2,459.98,2024-11-14,237,1,0.28,7919.38,1319.9,2447.13,Monthly,1,9,Active,0
Liam Johnson,2f11fa10-a8c4-438f-abbd-680791ee3f8d,116,3,159.97,2024-07-30,344,9,0.63,4055.99,312.0,474.58,Bi-Monthly,0,0,Active,0
Ava Brown,65df405f-c516-4e76-96ad-19ea64d3aa04,74,6,461.64,2025-01-01,189,7,0.67,9342.09,934.21,3643.6,Monthly,1,10,Active,0
Emma Wilson,cf8e58d2-0765-45dd-b415-46ec7e4955bb,1,1,420.07,2025-03-04,127,2,0.03,1606.55,267.76,70.63,Monthly,1,5,Closed,0
Olivia Johnson,31218b75-d068-4d75-9688-cfeeb5b7c2d9,84,1,434.07,2024-09-23,289,6,0.78,3187.45,398.43,424.78,Quarterly,1,7,Active,0
Olivia Moore,ba6ccc7d-4e24-4244-9f41-f82e833b5930,83,7,355.99,2025-02-21,138,10,0.64,7939.46,793.95,228.93,Bi-Monthly,1,2,Suspended,1
Isabella Smith,3ad05d2c-c430-49cd-9b03-85d1efe98569,94,8,254.1,2024-12-17,204,9,0.06,2302.47,287.81,4084.06,Monthly,1,5,Suspended,1
Emma Taylor,c97696c3-2b04-419d-94d5-66059eb68eef,53,1,177.32,2024-07-09,365,3,0.09,7604.87,584.99,4505.89,Quarterly,0,5,Closed,1
Ava Williams,bb84ae7f-e842-4944-8fbd-45f73c1fbf0b,8,4,135.45,2025-06-26,13,5,0.76,2209.44,184.12,2744.48,Bi-Monthly,0,12,Closed,1
Olivia Jones,5f85be51-77c7-461a-9fed-a0a556bd9bd5,41,1,379.45,2025-01-28,162,6,0.74,2165.73,240.64,2539.04,Quarterly,0,6,Suspended,0
Liam Moore,6c27ea35-34d6-49f7-b83c-38dae982f2ff,78,7,441.7,2024-08-07,336,0,0.0,6443.49,495.65,2126.1,Bi-Monthly,0,13,Closed,1
Ava Davis,bca306b9-93ca-430c-963d-c91b10401805,113,3,376.46,2024-07-26,348,6,0.79,6975.87,775.1,1475.96,Bi-Monthly,1,2,Closed,1
Isabella Williams,9d554c90-ae8d-4579-a722-b5398029acf5,87,4,399.33,2024-08-18,325,5,0.89,4502.61,750.43,3311.56,Quarterly,0,8,Closed,0
Olivia Williams,fe298041-2c3a-45a4-9ecc-f42c974898f0,51,1,208.34,2024-09-10,302,4,0.51,9213.6,614.24,2892.35,Quarterly,1,5,Closed,0
Ava Jones,752e7568-adb2-438d-b787-87b352e1409e,95,2,137.39,2024-11-05,246,0,0.0,3908.79,260.59,649.32,Quarterly,1,14,Suspended,1
James Jones,4623851d-d5f6-41d1-816d-6b2bf2b32f45,111,2,478.35,2024-08-14,329,2,0.55,9858.56,1232.32,1303.13,Bi-Monthly,0,4,Suspended,0
William Brown,02ede2ea-b803-4c7e-a3a8-b645d869d803,104,1,318.47,2025-06-08,31,7,0.39,8075.33,621.18,2350.36,Monthly,1,3,Suspended,0
Oliver Davis,50854d59-5cb3-4d6b-94bb-a53df477e5a2,73,5,396.83,2024-10-02,280,6,0.66,7679.53,639.96,551.43,Quarterly,1,14,Active,0
